wl_nm,FWHM_nm
3203.96711,9.16653
3211.61294,9.20011
3219.25988,9.23447
3226.90795,9.26962
3234.55713,9.30555
3242.20744,9.34229
3249.85886,9.37982
3257.51141,9.41816
3265.16508,9.45731
3272.81987,9.49729
3280.47577,9.53808
3288.1328,9.5797
3295.79095,9.62216
3303.45022,9.66546
3311.11061,9.7096
3318.77212,9.75459
3326.43475,9.80044
3334.0985,9.84715
3341.76338,9.89473
3349.42937,9.94318
3357.09648,9.99251
3364.76471,10.04272
3372.43407,10.09382
3380.10454,10.14581
3387.77614,10.19871
3395.44885,10.2525
3403.12269,10.30721
3410.79764,10.36284
3418.47372,10.41939
3426.15092,10.47687
